"ppm","num_bedrooms","dist_to_highway","dist_to_town_cent"
2.698,1,2.64,2.33963830299175
2.907,1,3.85,3.11115643968093
5.778,4,3.51,4.68818175565717
4.226,1,4.02,4.44194949317356
6.499,4,1.98,3.20781568651841
8.781,4,2.44,2.46463063203274
5.336,3,1.99,3.25220396628038
1.01,0,0.2,2.03150369426754
10.276,5,3.33,3.05195200212972
2.018,1,4.24,4.27258297611879
5.79,1,3.67,2.53244108863217
6.075,3,1.67,2.4640746375336
2.369,2,2.15,3.83152185743598
2.35,3,1.21,3.35501918333876
6.005,2,4.23,3.45203896668906
6.508,4,2.67,3.87951337762274
2.203,2,2.03,2.89159879318895
11.046,3,3.88,0.561878988457719
7.248,4,2.75,3.73551489809107
7.671,4,1.48,1.53155698051923
6.777,4,2.98,3.37719494310449
3.913,2,3.03,3.66456538417196
5.586,2,3.16,2.94493550242635
5.285,2,3.41,3.16962061559179
6.3,4,2.37,4.19910884290301
5.199,2,3.64,3.82960764538587
3.158,3,1.8,4.29993164222625
9.078,3,4.35,1.71912141921925
6.346,3,2.4,2.06440055646545
1.01,0,3.44,3.36737766457065
4.528,2,3.61,2.98969236893887
5.496,2,2.7,2.40978600373902
1.01,3,1.4,3.92521813917168
3.533,1,2.66,2.90600568661926
4.255,3,2.42,3.97894834754809
5.269,3,2.61,2.10132248273467
7.747,3,3.85,3.23730642261368
7.903,3,3.68,2.292101907359
5.107,2,3.24,1.69500255922002
1.927,2,2.29,3.82737670462134
11.318,5,5.61,3.58214390987106
7.249,3,1.37,1.64269414179957
1.01,2,1.39,3.31886754723121
4.631,3,3.34,2.73725790783611
9.377,1,5.73,1.81599062999159
7.999,4,2.67,3.18725270319228
2.69,2,1.74,3.50714218123247
4.875,2,2.57,3.05567986853354
8.082,2,5.55,4.37968516606831
1.715,1,2.23,3.89061546646119
8.359,4,2.49,1.52270006783172
4.652,3,2.73,5.00907700785086
2.796,1,3.75,3.90517439127773
4.5,2,3.67,3.62971657988873
2.978,3,2.54,4.28058689176964
3.213,3,1.07,1.60358249042998
7.765,2,4.88,3.07787831598942
4.271,2,1.75,1.27255710897098
4.919,4,2.51,3.77140498390348
8.103,4,3.22,3.156374667683
5.444,2,3.42,2.48762113648161
1.694,2,1.78,3.25985225694846
6.46,4,3.31,4.2016580026661
6.637,3,3.89,3.43537104418225
3.42,1,3.47,3.32379546496462
6.255,3,3.87,4.1124682540694
2.834,3,2.11,5.38753602117916
3.449,2,2.87,3.7382869833849
7.979,3,4.1,2.09913570280598
6.296,3,3.52,3.75794078720755
4.456,3,3.4,4.30725727134318
8.495,4,4.07,3.44686349111302
3.705,1,2.55,2.1487705530125
2.989,0,3.63,1.95205274046907
7.494,4,2.18,3.00399375667994
4.733,2,2.74,1.5804157839059
7.411,4,3.15,3.49549206185612
5.021,3,3.57,3.9642948452808
1.01,3,0.34,3.5147351254057
9.808,4,4.14,1.88929003024933
5.043,1,3.42,2.7075326640008
2.947,1,4.35,4.92401988146109
9.653,3,4.1,0.639286301134735
10.137,4,3.65,2.57456025965737
7.223,3,3.18,2.80018713666439
8.314,4,3.65,4.08127715780212
7.147,3,2.93,2.41914975327483
4.522,1,3.65,2.78826076096718
5.107,2,3.36,2.58764229026311
5.791,2,3.84,3.39546279739038
3.591,2,2.32,1.66282333113359
1.565,2,2.61,5.31131788765912
2.858,0,3.4,2.64950897148659
5.086,3,1.89,2.67889667619456
4.323,2,2.62,2.57103840766393
1.01,0,3.29,2.77038873997607
7.576,2,4.79,2.9440819843411
3.921,0,3.81,2.62795455911888
4.918,3,1.68,3.47429996960377
3.519,4,1.14,2.93829536744832
6.619,3,1.98,0.872310932443396
