"AREA","PERIMETER","MAJOR_AXIS","MINOR_AXIS","ECCENTRICITY","EQDIASQ","SOLIDITY","CONVEX_AREA","EXTENT","ASPECT_RATIO","ROUNDNESS","COMPACTNESS","SHAPEFACTOR_1","SHAPEFACTOR_2","SHAPEFACTOR_3","SHAPEFACTOR_4","MeanRR","MeanRG","MeanRB","StdDevRR","StdDevRG","StdDevRB","SkewRR","SkewRG","SkewRB","KurtosisRR","KurtosisRG","KurtosisRB","EntropyRR","EntropyRG","EntropyRB","ALLdaub4RR","ALLdaub4RG","ALLdaub4RB","Class"
168126,1581.353,611.1715,369.9803,0.7959,462.6712,0.9631,174568,0.7604,1.6519,0.8449,0.757,0.0036,0.0022,0.5731,0.9467,146.9061,142.7693,121.4654,38.6587,33.8851,29.1743,-0.6238,-0.4378,-0.0771,2.3763,2.0408,2.207,-39435071488,-36480671744,-25608919040,73.4496,71.3864,60.7363,"SUKKARI"
169280,1586.569,589.5577,367.1072,0.7825,464.2564,0.984,172030,0.8013,1.606,0.8451,0.7875,0.0035,0.0022,0.6201,0.9959,92.7203,88.0182,94.1285,33.1262,32.0901,30.2597,-0.0145,0.2911,0.3809,2.2515,2.5533,2.9864,-15413698560,-13831546880,-15511823360,46.3573,44.0072,47.0639,"SUKKARI"
145165,1466.083,557.8549,332.8617,0.8025,429.9184,0.9873,147033,0.7875,1.6759,0.8487,0.7707,0.0038,0.0023,0.5939,0.9954,128.5056,131.2321,122.2016,35.513,28.6195,26.6073,-0.4317,-0.0886,0.0407,2.576,2.4257,2.6105,-25586776064,-25897383936,-22129747968,64.2511,65.6186,61.1032,"SUKKARI"
148181,1486.942,548.4078,345.0912,0.7772,434.3615,0.9836,150658,0.7615,1.5892,0.8422,0.792,0.0037,0.0023,0.6273,0.9969,117.7226,106.7267,107.3839,30.94,25.6583,23.3937,-0.2674,0.2234,-0.0148,2.8783,2.6634,3.1703,-21350381568,-16970543104,-16980877312,58.8666,53.3667,53.6962,"SUKKARI"
178137,1613.375,611.778,371.4034,0.7946,476.2469,0.9873,180422,0.7743,1.6472,0.86,0.7785,0.0034,0.0021,0.606,0.9982,143.0229,143.8989,128.4096,37.762,30.5346,30.1872,-1.003,-0.9088,-0.4555,2.9256,2.954,2.3999,-39396945920,-38781554688,-30570317824,71.5079,71.9472,64.2028,"SUKKARI"
65590,1039.924,372.3486,279.8673,0.6596,288.984,0.8366,78398,0.6711,1.3304,0.7622,0.7761,0.0057,0.0043,0.6023,0.8014,141.569,136.7961,135.4096,41.6167,34.2671,38.2116,-0.7156,-0.4607,-0.3518,2.4052,2.1771,2.1752,-14466372608,-13054647296,-13023705088,70.7745,68.3989,67.7021,"SUKKARI"
136159,1393.309,518.6189,335.3107,0.7629,416.3689,0.9861,138084,0.7806,1.5467,0.8814,0.8028,0.0038,0.0025,0.6446,0.9969,134.3338,136.4624,126.5629,33.1957,25.9266,27.7518,-1.1731,-0.9182,-0.5872,3.6602,3.072,2.4775,-25964941312,-26091556864,-22433945600,67.1659,68.2293,63.28,"SUKKARI"
207698,1792.785,677.1498,416.9406,0.788,514.2463,0.9484,219006,0.7689,1.6241,0.8121,0.7594,0.0033,0.002,0.5767,0.9367,145.4176,140.5934,124.4999,40.5422,38.8919,40.2708,-0.9072,-0.6832,-0.5483,2.9171,2.4375,2.1652,-48090140672,-44608540672,-35265921024,72.7093,70.2954,62.2473,"SUKKARI"
138061,1397.4399,533.3875,330.7272,0.7846,419.2669,0.9927,139081,0.8196,1.6128,0.8884,0.786,0.0039,0.0024,0.6179,0.9965,92.219,89.3161,98.4758,25.2724,23.707,25.2079,-0.1183,0.5878,0.2499,2.8761,3.4091,2.8337,-11680705536,-10830333952,-13359763456,46.1121,44.6619,49.2393,"SUKKARI"
172108,1570.163,586.244,376.8531,0.766,468.1183,0.9895,173926,0.7891,1.5556,0.8772,0.7985,0.0034,0.0022,0.6376,0.9919,128.667,132.6658,116.1276,35.287,30.4518,30.2622,-0.6243,-0.4752,-0.3009,2.7212,2.3369,2.2023,-30370191360,-31635632128,-24030167040,64.3255,66.3309,58.0594,"SUKKARI"
137932,1404.546,524.6572,335.7947,0.7684,419.071,0.987,139753,0.7834,1.5624,0.8786,0.7988,0.0038,0.0024,0.638,0.9968,108.3867,108.3924,104.5471,27.3157,22.0612,26.2298,-0.6428,-0.2864,-0.2365,2.6462,3.0183,2.6045,-16443756544,-16013483008,-15180389376,54.192,54.1965,52.2736,"SUKKARI"
207029,1765.353,704.8253,375.3293,0.8464,513.4175,0.9929,208510,0.8048,1.8779,0.8348,0.7284,0.0034,0.0018,0.5306,0.9964,113.2164,106.724,117.7281,24.9791,18.315,21.0425,-0.8902,0.5687,-0.0853,4.1634,4.7953,3.1464,-26686932992,-22885431296,-28511535104,56.6093,53.3635,58.8649,"SUKKARI"
151596,1499.804,576.5701,335.9818,0.8127,439.3382,0.989,153288,0.7504,1.7161,0.8469,0.762,0.0038,0.0022,0.5806,0.9964,92.1805,81.3582,86.5462,19.9001,15.9618,20.6301,-0.7349,1.4089,0.4577,4.1889,12.0608,5.1296,-12369060864,-9288654848,-10901436416,46.0882,40.6796,43.2733,"SUKKARI"
127056,1364.663,500.5718,325.939,0.759,402.2098,0.9852,128962,0.8154,1.5358,0.8573,0.8035,0.0039,0.0026,0.6456,0.9915,127.374,123.5819,115.2354,33.8982,32.0639,32.417,-0.7237,-0.7096,-0.2739,2.5946,2.8401,2.4182,-21812361216,-20323153920,-17674768384,63.6851,61.7918,57.6178,"SUKKARI"
138262,1403.356,542.065,326.1642,0.7987,419.572,0.9935,139162,0.7554,1.6619,0.8822,0.774,0.0039,0.0024,0.5991,0.9957,140.7846,140.9268,119.4874,31.2249,25.8886,25.9502,-1.1736,-0.751,-0.4546,3.9672,2.9005,2.4017,-28823592960,-28359831552,-20046186496,70.3907,70.4653,59.7454,"SUKKARI"
138766,1392.42,520.9381,340.4706,0.7569,420.336,0.9918,139911,0.7941,1.5301,0.8994,0.8069,0.0038,0.0025,0.6511,0.9962,138.2284,140.6042,120.6224,31.1543,24.4073,26.7193,-0.6206,-0.0074,-0.2799,3.2517,2.1487,2.358,-27851569152,-28201566208,-20593477632,69.1097,70.3039,60.3105,"SUKKARI"
153752,1497.799,560.4558,353.3676,0.7762,442.4513,0.9892,155433,0.7751,1.586,0.8612,0.7894,0.0036,0.0023,0.6232,0.9885,123.3951,122.2981,110.3003,32.8187,29.3027,28.7117,-0.2915,0.0755,-0.0208,2.6873,2.3885,2.3633,-24623306752,-23769907200,-19163858944,61.6948,61.1454,55.1508,"SUKKARI"
158096,1524.178,572.8527,353.2698,0.7872,448.6581,0.9898,159732,0.7927,1.6216,0.8552,0.7832,0.0036,0.0022,0.6134,0.9947,131.011,126.9325,123.286,31.5014,27.8971,29.4054,-0.7751,-0.3663,-0.276,3.2905,2.662,2.5694,-28433750016,-26227253248,-24855111680,65.5095,63.4692,61.6467,"SUKKARI"
143261,1423.744,529.3361,348.0392,0.7535,427.0897,0.9917,144456,0.7867,1.5209,0.8881,0.8068,0.0037,0.0024,0.651,0.9901,123.4206,121.5066,113.2295,27.4058,21.376,24.428,-0.8441,-0.1595,-0.0611,3.7231,2.957,2.5269,-22358900736,-21127413760,-18436028416,61.7091,60.7543,56.6157,"SUKKARI"
146827,1447.351,558.1056,335.986,0.7985,432.3725,0.9919,148026,0.7909,1.6611,0.8808,0.7747,0.0038,0.0023,0.6002,0.997,138.3335,142.1838,127.8503,34.6434,26.6523,28.1135,-0.9658,-0.7588,-0.5966,3.2163,2.7036,2.6183,-29931704320,-30763431936,-24745015296,69.1715,71.0927,63.9276,"SUKKARI"
158924,1497.396,549.2912,370.9325,0.7375,449.8315,0.9886,160755,0.8115,1.4808,0.8907,0.8189,0.0035,0.0023,0.6706,0.9931,95.7466,86.3088,94.1414,32.3151,29.2402,29.8508,0.0356,0.5209,0.255,2.4563,3.0237,2.8602,-15297030144,-12183407616,-14515734528,47.8745,43.1585,47.0748,"SUKKARI"
102215,1196.941,428.5742,304.2583,0.7043,360.755,0.9858,103689,0.7654,1.4086,0.8966,0.8418,0.0042,0.003,0.7086,0.9981,134.0974,133.3062,128.2752,33.1023,26.6144,33.9535,-0.6693,-0.2162,0.0862,2.9913,2.3779,2.0656,-19424120832,-18696521728,-17824847872,67.0369,66.6489,64.1329,"SUKKARI"
187667,1650.6479,612.0896,393.5074,0.766,488.8201,0.9859,190342,0.802,1.5555,0.8655,0.7986,0.0033,0.0021,0.6378,0.992,130.8046,124.76,115.6849,35.6407,31.3167,26.6174,-0.5832,-0.0045,-0.053,2.5308,1.8065,2.0029,-34302599168,-30521284608,-25522841600,65.4045,62.3802,57.8438,"SUKKARI"
143352,1427.5811,515.6693,354.6234,0.726,427.2253,0.9865,145320,0.7724,1.4541,0.8839,0.8285,0.0036,0.0025,0.6864,0.9981,132.1553,132.8907,122.4844,34.6297,26.3806,26.2227,-0.5431,0.0547,0.1644,2.9605,2.5738,2.4806,-26626850816,-26030348288,-21924487168,66.0842,66.4524,61.2513,"SUKKARI"
242106,1897.218,733.3027,424.0022,0.8159,555.2107,0.9891,244779,0.7937,1.7295,0.8452,0.7571,0.003,0.0018,0.5733,0.9914,101.7057,88.4157,91.0843,33.4057,26.3415,28.5225,-0.6433,-0.1795,-0.2889,2.634,2.8078,2.5781,-26404036608,-18962182144,-20471883776,50.8506,44.208,45.5415,"SUKKARI"
138769,1404.488,516.3408,344.0673,0.7456,420.3405,0.9906,140090,0.7613,1.5007,0.884,0.8141,0.0037,0.0025,0.6627,0.9945,127.2342,128.8756,108.2445,31.9082,23.6834,24.2242,-1.127,-1.184,-0.462,3.5441,5.0311,2.8754,-23532441600,-23373099008,-16232477696,63.6097,64.4325,54.1157,"SUKKARI"
140276,1396.4659,515.7888,346.9041,0.74,422.6168,0.9889,141850,0.7916,1.4868,0.9039,0.8194,0.0037,0.0025,0.6714,0.9982,67.6805,67.6815,80.916,20.7385,20.7076,23.7326,0.1936,0.7228,0.2103,3.1327,5.3155,3.3467,-6105571840,-6109187072,-9001221120,33.8296,33.833,40.4505,"SUKKARI"
84406,1084.765,394.5068,273.1771,0.7215,327.8247,0.9899,85271,0.7607,1.4441,0.9014,0.831,0.0047,0.0032,0.6905,0.9972,117.6417,117.4836,109.968,28.2245,24.4929,28.6701,-0.7859,-0.2979,-0.2522,3.2901,2.6577,2.3298,-11970220032,-11736947712,-10450410496,58.8164,58.7378,54.9815,"SUKKARI"
123321,1332.6071,506.1284,311.3531,0.7884,396.2539,0.9925,124256,0.7242,1.6256,0.8727,0.7829,0.0041,0.0025,0.613,0.9964,130.1135,132.4925,105.5937,29.3013,22.0335,24.5488,-1.4281,-1.2616,-0.9384,4.451,4.1482,3.1862,-21648541696,-21911853056,-13716354048,65.0504,66.2426,52.7944,"SUKKARI"
158028,1524.984,583.8958,345.9882,0.8055,448.5616,0.9873,160056,0.7571,1.6876,0.8539,0.7682,0.0037,0.0022,0.5902,0.996,82.5868,83.1525,71.8996,26.2801,22.8516,23.3565,0.0021,0.3595,0.8054,2.2752,2.9607,3.7498,-10801320960,-10640450560,-7991440384,41.2964,41.5789,35.9537,"SUKKARI"
152858,1488.0179,568.9197,342.9484,0.7979,441.1631,0.9905,154319,0.7428,1.6589,0.8675,0.7754,0.0037,0.0022,0.6013,0.9975,132.7679,133.1531,109.2124,27.3917,21.3134,24.2073,-1.3334,-0.7725,-0.1043,4.9389,3.9493,2.513,-27783301120,-27393744896,-18219714560,66.3831,66.5772,54.6087,"SUKKARI"
80044,1059.046,378.1419,270.6614,0.6983,319.2416,0.9883,80990,0.7521,1.3971,0.8968,0.8442,0.0047,0.0034,0.7127,0.9958,108.7848,106.1162,100.9971,31.1041,26.1951,29.3865,-0.3851,-0.2607,-0.1599,2.2247,2.4509,2.2165,-9834114048,-9082079232,-8377428480,54.3915,53.0591,50.5,"SUKKARI"
143446,1435.196,546.4086,335.3802,0.7895,427.3653,0.9896,144948,0.7641,1.6292,0.8751,0.7821,0.0038,0.0023,0.6117,0.9967,110.9879,105.9641,97.8208,27.2662,24.2229,24.2473,-0.5142,-0.2695,-0.3096,2.7046,2.5783,2.7048,-17955272704,-16053414912,-13601080320,55.4929,52.9835,48.9122,"SUKKARI"
143356,1426.459,550.8297,331.6248,0.7985,427.2312,0.9938,144249,0.7981,1.661,0.8853,0.7756,0.0038,0.0023,0.6016,0.9992,116.643,119.1973,106.4353,39.2311,37.3937,31.0386,-0.4753,-0.5714,-0.5239,2.0547,2.0053,2.1746,-21292279808,-21961005056,-16844609536,58.3145,59.5924,53.2102,"SUKKARI"
134664,1385.511,514.5657,334.5349,0.7598,414.0767,0.9883,136252,0.7508,1.5382,0.8815,0.8047,0.0038,0.0025,0.6476,0.996,113.9397,116.5125,99.0061,32.4323,27.3087,27.4219,-0.8056,-0.712,-0.2154,2.796,3.2864,2.5952,-18296057856,-18637944832,-13358255104,56.9622,58.2536,49.5023,"SUKKARI"
153700,1453.689,524.5832,373.9211,0.7014,442.3764,0.991,155102,0.7193,1.4029,0.914,0.8433,0.0034,0.0024,0.7111,0.9977,93.5604,85.7477,89.9195,30.0004,27.9261,30.1835,-0.0107,0.3057,0.1187,2.326,2.5033,2.2966,-13876976640,-11490749440,-12859614208,46.7758,42.872,44.9593,"SUKKARI"
165987,1559.245,596.3097,355.5895,0.8027,459.7186,0.9904,167596,0.6741,1.677,0.8579,0.7709,0.0036,0.0021,0.5943,0.9967,86.866,75.7861,81.557,23.2889,17.5292,20.2279,-0.3133,0.7759,0.4882,2.7638,6.2666,4.2262,-12248570880,-8850424832,-10523205632,43.4317,37.892,40.7792,"SUKKARI"
142413,1438.217,527.6629,346.8893,0.7535,425.8238,0.9794,145415,0.7121,1.5211,0.8652,0.807,0.0037,0.0024,0.6512,0.9906,99.3857,93.6736,89.6992,29.2598,25.4742,26.4597,-0.5024,-0.1638,-0.0987,2.4505,2.3521,2.4319,-14408605696,-12457070592,-11494690816,49.6982,46.8458,44.8598,"SUKKARI"
