"Sex","Breed","Weight"
"Female","Domestic Short Hair",9.6853
"Male","Domestic Short Hair",8.6505
"Female","Domestic Short Hair",5.9976
"Male","Domestic Long Hair",12.2257
"Female","Domestic Medium Hair",10.909
"Female","Domestic Medium Hair",9.9225
"Male","Domestic Medium Hair",11.8682
"Female","Domestic Medium Hair",6.8941
"Female","Domestic Medium Hair",10.9043
"Male","Domestic Short Hair",9.6115
"Male","Domestic Long Hair",11.9773
"Male","Domestic Short Hair",9.3743
"Male","Domestic Short Hair",9.8356
"Female","Domestic Short Hair",8.201
"Female","Domestic Long Hair",8.6467
"Female","Domestic Short Hair",6.4453
"Male","Domestic Medium Hair",9.9889
"Male","Domestic Short Hair",8.8704
"Female","Domestic Long Hair",9.8533
"Female","Domestic Short Hair",8.6156
"Male","Domestic Long Hair",10.3215
"Female","Domestic Long Hair",8.7333
"Male","Domestic Short Hair",9.5173
"Female","Domestic Short Hair",8.5757
"Male","Domestic Medium Hair",10.4767
"Male","Domestic Long Hair",10.4415
"Male","Domestic Short Hair",10.7586
"Male","Domestic Long Hair",11.4405
"Female","Domestic Medium Hair",9.9611
"Female","Domestic Long Hair",10.9757
"Male","Domestic Long Hair",11.5848
"Male","Domestic Long Hair",12.6253
"Female","Domestic Long Hair",11.2103
"Male","Domestic Short Hair",8.397
"Male","Domestic Short Hair",9.8408
"Female","Domestic Medium Hair",7.9026
"Female","Domestic Long Hair",9.9984
"Male","Domestic Short Hair",9.6471
"Male","Domestic Long Hair",11.6643
"Female","Domestic Short Hair",7.9663
"Female","Domestic Short Hair",7.767
"Female","Domestic Medium Hair",9.5872
"Female","Domestic Short Hair",7.9148
"Male","Domestic Short Hair",10.1216
"Female","Domestic Long Hair",10.0045
"Male","Domestic Long Hair",9.4653
"Female","Domestic Medium Hair",8.4721
"Male","Domestic Long Hair",11.4808
"Female","Domestic Short Hair",6.9008
"Male","Domestic Medium Hair",8.5867
"Male","Domestic Medium Hair",11.2655
"Female","Domestic Short Hair",9.7553
"Female","Domestic Short Hair",10.0013
"Male","Domestic Short Hair",6.8281
"Female","Domestic Short Hair",7.9926
"Male","Domestic Long Hair",13.3196
"Female","Domestic Medium Hair",10.5946
"Male","Domestic Medium Hair",9.452
"Male","Domestic Long Hair",11.9969
"Female","Domestic Long Hair",11.0546
"Female","Domestic Long Hair",12.0617
"Female","Domestic Short Hair",7.6986
"Male","Domestic Short Hair",8.7629
"Male","Domestic Short Hair",10.5283
"Male","Domestic Short Hair",8.1811
"Male","Domestic Medium Hair",9.4817
"Male","Domestic Short Hair",10.0827
"Male","Domestic Medium Hair",9.4724
"Female","Domestic Medium Hair",9.8252
"Female","Domestic Medium Hair",8.4497
"Male","Domestic Long Hair",10.764
"Female","Domestic Short Hair",8.825
"Male","Domestic Long Hair",10.3883
"Female","Domestic Medium Hair",7.4512
"Female","Domestic Long Hair",10.4277
"Female","Domestic Medium Hair",10.5388
"Female","Domestic Short Hair",8.3668
"Male","Domestic Medium Hair",9.8162
"Female","Domestic Short Hair",8.6728
"Female","Domestic Short Hair",7.9825
"Female","Domestic Short Hair",8.4543
"Female","Domestic Medium Hair",8.2186
"Female","Domestic Medium Hair",8.8165
"Male","Domestic Short Hair",9.5183
"Female","Domestic Short Hair",8.15
"Male","Domestic Medium Hair",10.6916
"Male","Domestic Short Hair",7.8915
"Female","Domestic Long Hair",13.1323
"Male","Domestic Short Hair",9.5135
"Female","Domestic Short Hair",8.8796
"Female","Domestic Long Hair",9.8472
"Male","Domestic Medium Hair",11.4647
"Male","Domestic Short Hair",9.8151
"Male","Domestic Short Hair",9.0315
"Female","Domestic Short Hair",9.8313
"Female","Domestic Long Hair",9.5972
"Female","Domestic Long Hair",10.8122
"Female","Domestic Medium Hair",11.0954
"Male","Domestic Short Hair",9.5786
"Male","Domestic Long Hair",11.0372
"Male","Domestic Medium Hair",10.6733
"Female","Domestic Long Hair",11.4496
"Male","Domestic Medium Hair",11.4597
"Male","Domestic Medium Hair",11.8979
"Female","Domestic Medium Hair",10.0861
"Female","Domestic Medium Hair",9.0986
"Female","Domestic Long Hair",11.6961
"Female","Domestic Long Hair",11.1087
"Female","Domestic Short Hair",8.1574
"Female","Domestic Long Hair",9.919
"Male","Domestic Short Hair",8.5775
"Male","Domestic Medium Hair",7.8557
"Female","Domestic Medium Hair",10.4599
"Male","Domestic Long Hair",11.177
"Male","Domestic Long Hair",10.6162
"Male","Domestic Short Hair",8.6023
"Male","Domestic Short Hair",10.3683
"Male","Domestic Medium Hair",8.8508
"Male","Domestic Long Hair",9.5628
"Female","Domestic Medium Hair",10.5744
"Female","Domestic Medium Hair",10.2434
"Female","Domestic Short Hair",10.9492
"Female","Domestic Short Hair",7.6893
"Male","Domestic Short Hair",11.8269
"Male","Domestic Medium Hair",9.1436
"Female","Domestic Medium Hair",10.0031
"Female","Domestic Short Hair",8.7375
"Female","Domestic Long Hair",10.1615
"Male","Domestic Medium Hair",9.1991
"Female","Domestic Medium Hair",8.0479
"Male","Domestic Short Hair",9.2406
"Female","Domestic Short Hair",10.9458
"Male","Domestic Long Hair",11.993
"Female","Domestic Medium Hair",7.7005
"Female","Domestic Short Hair",7.7778
"Female","Domestic Short Hair",7.5472
"Female","Domestic Medium Hair",9.7893
"Male","Domestic Short Hair",9.2483
"Female","Domestic Short Hair",8.4095
"Male","Domestic Short Hair",8.2896
"Female","Domestic Medium Hair",9.6866
"Male","Domestic Short Hair",8.2745
"Female","Domestic Medium Hair",7.2644
"Male","Domestic Short Hair",7.9487
"Male","Domestic Short Hair",7.1035
"Male","Domestic Long Hair",12.8439
"Male","Domestic Short Hair",9.2797
"Male","Domestic Long Hair",9.87
"Female","Domestic Short Hair",8.6076
"Female","Domestic Long Hair",9.0296
"Male","Domestic Short Hair",9.427
"Male","Domestic Long Hair",11.7637
"Male","Domestic Short Hair",10.1841
"Female","Domestic Medium Hair",10.4413
"Female","Domestic Medium Hair",9.9801
"Female","Domestic Medium Hair",10.3037
"Female","Domestic Medium Hair",10.0668
"Female","Domestic Short Hair",8.4559
"Female","Domestic Medium Hair",11.9451
"Female","Domestic Medium Hair",10.5866
"Male","Domestic Long Hair",12.0082
"Female","Domestic Short Hair",6.1191
"Female","Domestic Short Hair",8.9611
"Male","Domestic Long Hair",11.5369
"Male","Domestic Long Hair",9.6445
"Female","Domestic Medium Hair",8.4288
"Female","Domestic Short Hair",8.3992
"Female","Domestic Medium Hair",10.1921
"Male","Domestic Long Hair",10.2254
"Male","Domestic Long Hair",12.8935
"Female","Domestic Long Hair",11.061
"Female","Domestic Medium Hair",9.2101
"Male","Domestic Short Hair",8.3843
"Female","Domestic Medium Hair",9.9865
"Female","Domestic Short Hair",9.42
"Female","Domestic Medium Hair",10.3168
"Male","Domestic Long Hair",11.6577
"Female","Domestic Short Hair",8.6386
"Male","Domestic Long Hair",11.5299
"Female","Domestic Medium Hair",10.4331
"Male","Domestic Medium Hair",8.1309
"Female","Domestic Medium Hair",8.4378
"Female","Domestic Short Hair",9.3493
"Male","Domestic Short Hair",7.3148
"Female","Domestic Short Hair",8.7501
"Male","Domestic Long Hair",11.2769
"Male","Domestic Short Hair",9.7169
"Male","Domestic Medium Hair",8.636
"Female","Domestic Long Hair",8.8702
"Female","Domestic Medium Hair",9.5671
"Female","Domestic Long Hair",8.495
"Female","Domestic Long Hair",11.8026
"Female","Domestic Short Hair",8.6533
"Male","Domestic Short Hair",8.7384
"Female","Domestic Short Hair",9.1529
"Male","Domestic Long Hair",10.3966
"Male","Domestic Short Hair",10.6269
"Female","Domestic Short Hair",9.4344
"Male","Domestic Long Hair",11.8166
"Female","Domestic Long Hair",10.8562
"Female","Domestic Long Hair",10.1937
"Female","Domestic Medium Hair",10.1041
"Male","Domestic Short Hair",9.8641
"Male","Domestic Short Hair",9.3691
"Female","Domestic Long Hair",7.9685
"Female","Domestic Long Hair",9.1647
"Male","Domestic Medium Hair",9.9266
"Female","Domestic Medium Hair",9.5491
"Male","Domestic Short Hair",9.5451
"Male","Domestic Long Hair",11.2553
"Female","Domestic Medium Hair",11.2147
"Female","Domestic Short Hair",7.8091
"Male","Domestic Long Hair",9.1163
"Female","Domestic Short Hair",9.3051
"Female","Domestic Short Hair",9.1286
"Male","Domestic Short Hair",8.6398
"Male","Domestic Short Hair",9.0242
"Female","Domestic Medium Hair",9.872
"Female","Domestic Medium Hair",10.3097
"Male","Domestic Medium Hair",8.5125
"Male","Domestic Long Hair",11.1506
"Female","Domestic Long Hair",11.0402
"Male","Domestic Short Hair",8.5015
"Male","Domestic Medium Hair",10.2306
"Female","Domestic Medium Hair",11.4731
"Female","Domestic Long Hair",9.0944
"Female","Domestic Long Hair",9.1716
"Male","Domestic Long Hair",11.297
"Female","Domestic Medium Hair",10.0982
"Male","Domestic Long Hair",13.9204
"Male","Domestic Short Hair",10.8298
"Female","Domestic Medium Hair",9.5358
"Female","Domestic Medium Hair",9.3366
"Female","Domestic Short Hair",8.0997
"Male","Domestic Short Hair",10.2038
"Female","Domestic Medium Hair",8.9494
"Female","Domestic Long Hair",10.839
"Female","Domestic Short Hair",9.1963
"Male","Domestic Long Hair",12.0199
"Female","Domestic Short Hair",8.7886
"Female","Domestic Long Hair",8.2942
"Female","Domestic Long Hair",9.5422
"Male","Domestic Short Hair",7.9376
"Male","Domestic Medium Hair",13.0267
"Female","Domestic Medium Hair",9.7066
"Male","Domestic Medium Hair",9.9512
"Female","Domestic Long Hair",10.6965
"Female","Domestic Short Hair",6.6926
"Female","Domestic Short Hair",7.3116
"Female","Domestic Medium Hair",8.1102
"Female","Domestic Short Hair",7.7579
"Female","Domestic Short Hair",9.0009
"Male","Domestic Short Hair",8.446
"Male","Domestic Medium Hair",9.4262
"Female","Domestic Long Hair",9.298
"Male","Domestic Long Hair",11.9162
"Female","Domestic Medium Hair",10.0022
"Male","Domestic Long Hair",9.2737
"Female","Domestic Long Hair",11.3067
"Female","Domestic Long Hair",10.5727
"Female","Domestic Long Hair",10.8982
"Female","Domestic Short Hair",9.2999
"Female","Domestic Long Hair",11.701
"Male","Domestic Short Hair",9.4144
"Male","Domestic Long Hair",9.3199
"Male","Domestic Long Hair",9.9844
"Female","Domestic Long Hair",9.9827
"Female","Domestic Short Hair",8.8381
"Female","Domestic Long Hair",11.194
"Male","Domestic Short Hair",8.4457
"Female","Domestic Medium Hair",8.4923
"Female","Domestic Long Hair",10.3191
"Female","Domestic Short Hair",7.1541
"Male","Domestic Medium Hair",11.5973
"Male","Domestic Short Hair",9.4238
"Female","Domestic Long Hair",9.132
"Male","Domestic Medium Hair",9.9108
"Male","Domestic Long Hair",12.2184
"Male","Domestic Short Hair",8.9605
"Male","Domestic Long Hair",11.4797
"Male","Domestic Short Hair",8.3284
"Female","Domestic Long Hair",9.8589
"Female","Domestic Long Hair",8.3718
"Female","Domestic Long Hair",8.4978
"Female","Domestic Short Hair",7.4151
"Male","Domestic Long Hair",10.0994
"Female","Domestic Short Hair",8.4471
"Male","Domestic Short Hair",9.0322
"Male","Domestic Medium Hair",9.71
"Male","Domestic Long Hair",9.7188
"Male","Domestic Short Hair",9.891
"Female","Domestic Long Hair",8.8723
"Male","Domestic Medium Hair",11.1989
"Male","Domestic Long Hair",10.5379
"Male","Domestic Short Hair",6.4236
"Male","Domestic Medium Hair",11.0704
"Female","Domestic Short Hair",5.8555
"Female","Domestic Short Hair",8.5503
"Male","Domestic Long Hair",9.4055
"Male","Domestic Short Hair",9.0823
"Male","Domestic Short Hair",7.0256
"Male","Domestic Short Hair",9.4444
"Female","Domestic Long Hair",10.3334
"Male","Domestic Long Hair",11.1826
"Female","Domestic Short Hair",8.8922
"Female","Domestic Short Hair",8.9946
"Male","Domestic Long Hair",11.1886
"Female","Domestic Medium Hair",9.3526
"Male","Domestic Medium Hair",8.3088
"Male","Domestic Long Hair",10.6911
"Female","Domestic Short Hair",9.1819
"Male","Domestic Medium Hair",11.531
"Female","Domestic Long Hair",9.0721
"Male","Domestic Long Hair",10.1638
"Male","Domestic Medium Hair",10.6325
"Female","Domestic Short Hair",7.714
"Male","Domestic Short Hair",9.976
"Female","Domestic Short Hair",5.9847
"Male","Domestic Short Hair",9.6827
"Female","Domestic Medium Hair",7.9088
"Male","Domestic Medium Hair",10.5219
"Female","Domestic Short Hair",6.5671
"Female","Domestic Medium Hair",9.8195
"Male","Domestic Long Hair",12.0583
"Female","Domestic Long Hair",10.7554
"Male","Domestic Short Hair",7.0074
"Female","Domestic Medium Hair",10.2688
"Female","Domestic Medium Hair",9.7039
"Female","Domestic Short Hair",9.6083
"Female","Domestic Medium Hair",9.8933
"Male","Domestic Medium Hair",9.7907
"Male","Domestic Short Hair",7.5764
"Male","Domestic Medium Hair",9.1596
"Female","Domestic Medium Hair",9.1501
"Female","Domestic Short Hair",8.6758
"Female","Domestic Long Hair",7.9463
"Female","Domestic Long Hair",9.688
"Male","Domestic Long Hair",12.6289
"Male","Domestic Long Hair",11.2678
"Female","Domestic Medium Hair",9.7079
"Female","Domestic Short Hair",8.2171
"Female","Domestic Medium Hair",11.7051
"Male","Domestic Short Hair",7.5611
"Male","Domestic Long Hair",11.5169
"Female","Domestic Medium Hair",11.5282
"Female","Domestic Medium Hair",9.7789
